sentence,relation,entities,sentence_no_tags
"Furthermore, the present invention includes a composition for <e1>treatment</e1> of disorders associated with or enhanced by an <e2>eosinophilia</e2>.",18,"['treatment', 'eosinophilia']","Furthermore, the present invention includes a composition for treatment of disorders associated with or enhanced by an eosinophilia."
His <e1>death</e1> during one of the Portuguese raids caused the <e2>abandonment</e2> of the settlement.,0,"['death', 'abandonment']",His death during one of the Portuguese raids caused the abandonment of the settlement.
"Furthermore, many <e1>journals</e1> publishing <e2>biomedical research</e2> demand formal ethical clearance.",14,"['journals', 'biomedical research']","Furthermore, many journals publishing biomedical research demand formal ethical clearance."
My son (9 years old) has been complaining of pain on his <e1>jaw</e1> <e2>bone</e2> for a few weeks now.,3,"['jaw', 'bone']",My son (9 years old) has been complaining of pain on his jaw bone for a few weeks now.
By choosing to hold the <e1>ceremony</e1> in a public <e2>building</e2> and inviting guests you are recognizing both that your new life affects the lives of many other people.,18,"['ceremony', 'building']",By choosing to hold the ceremony in a public building and inviting guests you are recognizing both that your new life affects the lives of many other people.
<e1>Engineers</e1> turn CO2 into methane with the help of a novel cellular <e2>trick</e2>.,11,"['Engineers', 'trick']",Engineers turn CO2 into methane with the help of a novel cellular trick.
"By 1906, the <e1>company</e1> was making over 3000 different soaps, <e2>perfumes</e2> and other products.",17,"['company', 'perfumes']","By 1906, the company was making over 3000 different soaps, perfumes and other products."
"The <e1>author</e1> was born in a loving <e2>family</e2>, with all the privileges of an upper middle class lifestyle, and in fact was an accomplished athlete in high school and writer in his adult life.",8,"['author', 'family']","The author was born in a loving family, with all the privileges of an upper middle class lifestyle, and in fact was an accomplished athlete in high school and writer in his adult life."
These are archived boat <e1>logs</e1> from previous <e2>months</e2> sampling beginning in February 2002.,8,"['logs', 'months']",These are archived boat logs from previous months sampling beginning in February 2002.
Their <e1>passion</e1> was reflected in the <e2>correspondence</e2> they kept.,15,"['passion', 'correspondence']",Their passion was reflected in the correspondence they kept.
The <e1>lungs</e1> are divided into <e2>lobes</e2>.,3,"['lungs', 'lobes']",The lungs are divided into lobes.
"In general, the old <e1>queen</e1> starts laying <e2>eggs</e2> into queen cups when conditions are right for swarming or supersedure.",17,"['queen', 'eggs']","In general, the old queen starts laying eggs into queen cups when conditions are right for swarming or supersedure."
Two attributes have carried Meraki <e1>networks</e1> into Amazonian <e2>towns</e2>.,6,"['networks', 'towns']",Two attributes have carried Meraki networks into Amazonian towns.
Ku's sculpture-like <e1>knitwear</e1> was inspired by the <e2>concept</e2> of 'Sculpture.',18,"['knitwear', 'concept']",Ku's sculpture-like knitwear was inspired by the concept of 'Sculpture.'
A <e1>hacker</e1> uses a home <e2>computer</e2> that can be linked to other computers by a modem that allows the user to send and receive information over telephone lines.,11,"['hacker', 'computer']",A hacker uses a home computer that can be linked to other computers by a modem that allows the user to send and receive information over telephone lines.
This activity spreads <e1>disease</e1> to our <e2>dogs</e2>.,6,"['disease', 'dogs']",This activity spreads disease to our dogs.
The aviator's <e1>jungle aid</e1> was contained in a sealed <e2>escape kit</e2> along with maps of the territory and a dictionary of phrases and words in local dialect.,4,"['jungle aid', 'escape kit']",The aviator's jungle aid was contained in a sealed escape kit along with maps of the territory and a dictionary of phrases and words in local dialect.
The <e1>eight-year-old boy</e1> was locked in a <e2>safe</e2> for a prank but had to be rescued when his air ran short.,18,"['eight-year-old boy', 'safe']",The eight-year-old boy was locked in a safe for a prank but had to be rescued when his air ran short.
Thus the leaves situated in the middle part of the <e1>stem</e1> of the sunflower <e2>plant</e2> show the highest amounts of endogenous cytokinin-like substances.,2,"['stem', 'plant']",Thus the leaves situated in the middle part of the stem of the sunflower plant show the highest amounts of endogenous cytokinin-like substances.
"The <e1>paper</e1> inquires into energy <e2>storage</e2> examining electrical energy storage devices, especially supercapacitors.",14,"['paper', 'storage']","The paper inquires into energy storage examining electrical energy storage devices, especially supercapacitors."
"A 60-year-old US grandmother, blind for nearly a decade, has recovered her sight after surgeons implanted a <e1>tooth</e1> in her <e2>eye</e2> as a base to hold a tiny plastic lens.",6,"['tooth', 'eye']","A 60-year-old US grandmother, blind for nearly a decade, has recovered her sight after surgeons implanted a tooth in her eye as a base to hold a tiny plastic lens."
"You catched the <e1>train</e1> from the <e2>terminal</e2>, direct non-stop to Rome Termini Station.",8,"['train', 'terminal']","You catched the train from the terminal, direct non-stop to Rome Termini Station."
"Forests are benefited by harboring a <e1>cete</e1> of <e2>badgers</e2>, who burrow in the soil, thereby aerating it, which helps root systems to grow through the soil.",13,"['cete', 'badgers']","Forests are benefited by harboring a cete of badgers, who burrow in the soil, thereby aerating it, which helps root systems to grow through the soil."
I watched with utter amazement as the <e1>upholsterer</e1> attached the pieces with a hook-and-eye <e2>gizmo</e2>.,11,"['upholsterer', 'gizmo']",I watched with utter amazement as the upholsterer attached the pieces with a hook-and-eye gizmo.
"Finally, this entire assembly is covered by a <e1>lid</e1> attached to the rear of the <e2>coffeemaker</e2> and latches in front.",18,"['lid', 'coffeemaker']","Finally, this entire assembly is covered by a lid attached to the rear of the coffeemaker and latches in front."
<e1>Exposure</e1> to vapor causes intense <e2>watering</e2> and irritation to eyes.,0,"['Exposure', 'watering']",Exposure to vapor causes intense watering and irritation to eyes.
This two-day <e1>tutorial</e1> introduced astronomers to modern <e2>methods</e2> in nonparametric statistics.,14,"['tutorial', 'methods']",This two-day tutorial introduced astronomers to modern methods in nonparametric statistics.
The boy inserted a <e1>coin</e1> into the <e2>machine</e2> and then took the ticket.,6,"['coin', 'machine']",The boy inserted a coin into the machine and then took the ticket.
"Biting into the grill-charred, bronze-fleshed Copper River salmon fillet perched on a <e1>hill</e1> of crisp-tender green <e2>beans</e2> and roasted fingerling potatoes -- a dribble of mustard vinaigrette around the plate rim the only sauce it wanted -- I was back in San Francisco again.",18,"['hill', 'beans']","Biting into the grill-charred, bronze-fleshed Copper River salmon fillet perched on a hill of crisp-tender green beans and roasted fingerling potatoes -- a dribble of mustard vinaigrette around the plate rim the only sauce it wanted -- I was back in San Francisco again."
"Once unregistered, the <e1>folder</e1> went away from the <e2>shell</e2>.",8,"['folder', 'shell']","Once unregistered, the folder went away from the shell."
Each weekday one <e1>photograph</e1> by a <e2>member</e2> of the Utata flickr group is chosen to be featured on the Utata Blog.,16,"['photograph', 'member']",Each weekday one photograph by a member of the Utata flickr group is chosen to be featured on the Utata Blog.
This is an online <e1>notebook</e1> for <e2>astronomers</e2> and space scientists wanting to become involved in science education.,10,"['notebook', 'astronomers']",This is an online notebook for astronomers and space scientists wanting to become involved in science education.
I always carry a <e1>suitcase</e1> with my <e2>clothes</e2> in it.,5,"['suitcase', 'clothes']",I always carry a suitcase with my clothes in it.
She lost a <e1>propellor</e1> <e2>blade</e2> going through the Bay of Biscay and was taken in tow arriving Gibraltar 2pm 6th March.,3,"['propellor', 'blade']",She lost a propellor blade going through the Bay of Biscay and was taken in tow arriving Gibraltar 2pm 6th March.
<e1>Democrats</e1> are running into one <e2>problem</e2> after another trying to pass the health care bill in the Senate.,18,"['Democrats', 'problem']",Democrats are running into one problem after another trying to pass the health care bill in the Senate.
